# Nicos Weg A1 生词本
# 来源: nico weg A1.txt
# 导出时间: 2026-07-26 16:30:41
# 共 46 个词 / 词组 (按原文行号排序)
# ============================================================

  1. Oh mein Gott    (原文第 431 行)
  2. verloren    (原文第 439 行)
  3. passiert    (原文第 441 行)
  4. Aufnäher    (原文第 447 行)
  5. Danke euch!    (原文第 457 行)
  6. Was soll das denn?    (原文第 459 行)
  7. Auf dem Amt    (原文第 466 行)
  8. Aber ich werd’s rausfinden    (原文第 515 行)
  9. Party    (原文第 521 行)
 10. Fahrradladen    (原文第 552 行)
 11. Willkommen in der Wagnergasse    (原文第 569 行)
 12. Herzlich willkommen!    (原文第 573 行)
 13. wir haben ein kleines Problem.    (原文第 577 行)
 14. Hat am Flughafen alles geklappt?    (原文第 583 行)
 15. Flugzeug    (原文第 585 行)
 16. sitzt    (原文第 585 行)
 17. hübsch.    (原文第 608 行)
 18. Angebot    (原文第 626 行)
 19. vielleicht.    (原文第 646 行)
 20. Speisekarte    (原文第 682 行)
 21. von    (原文第 682 行)
 22. Radio?    (原文第 690 行)
 23. Mozzarella    (原文第 702 行)
 24. Schinken    (原文第 706 行)
 25. Nachricht    (原文第 715 行)
 26. getrennt?    (原文第 730 行)
 27. Das stimmt so    (原文第 736 行)
 28. werde    (原文第 762 行)
 29. Abschiedsparty.    (原文第 770 行)
 30. Guten Appetit    (原文第 774 行)
 31. Sehenswürdigkeit    (原文第 795 行)
 32. Kommentar    (原文第 821 行)
 33. liegt    (原文第 826 行)
 34. Norden    (原文第 832 行)
 35. Osten    (原文第 832 行)
 36. Süden    (原文第 832 行)
 37. Westen    (原文第 832 行)
 38. gewinnen    (原文第 850 行)
 39. Fähnchen    (原文第 879 行)
 40. Ihr müsst die Fähnchen zuordnen.    (原文第 879 行)
 41. Ländern.    (原文第 879 行)
 42. Spezialitäten    (原文第 879 行)
 43. Spezialitäten aus verschiedenen Ländern.    (原文第 879 行)
 44. verschiedenen    (原文第 879 行)
 45. zuordnen.    (原文第 879 行)
 46. einfach    (原文第 881 行)
