# Nicos Weg A1 生词本
# 来源: 0001 Karl hat frei.txt
# 导出时间: 2026-08-01 15:56:29
# 共 30 个词 / 词组 (按原文行号排序)
# ============================================================

  1. bleibt er im  Bett liegen  (原文第 2 行)
  2. aufstehen    (原文第 3 行)
  3. der Geruch    (原文第 4 行)
  4. der Kuchen.    (原文第 4 行)
  5. Stück    (原文第 4 行)
  6. die Fahrradtour    (原文第 5 行)
  7. sich entschließen    (原文第 5 行)
  8. das Dorf    (原文第 6 行)
  9. grenzt    (原文第 6 行)
 10. Fichten.    (原文第 7 行)
 11. Kiefern    (原文第 7 行)
 12. Wald    (原文第 7 行)
 13. Während    (原文第 7 行)
 14. riecht    (原文第 7 行)
 15. Blätter    (原文第 8 行)
 16. Haare    (原文第 8 行)
 17. durch    (原文第 8 行)
 18. rauscht    (原文第 8 行)
 19. Freiheit,    (原文第 9 行)
 20. Bach.    (原文第 10 行)
 21. rastet    (原文第 10 行)
 22. Brot,    (原文第 11 行)
 23. bevor    (原文第 11 行)
 24. mitgenommen.    (原文第 11 行)
 25. Pedale    (原文第 12 行)
 26. weiterfährt.    (原文第 12 行)
 27. Kette    (原文第 13 行)
 28. treten.    (原文第 13 行)
 29. verklemmt.    (原文第 13 行)
 30. vorbei    (原文第 15 行)
